entanglement,feature_map_reps,ansatz_reps,train_accuracy,test_accuracy,train_f1,test_f1,train_recall,test_recall,train_precision,test_precision
linear,1,1,0.5835,0.5695,0.6415354161287546,0.6191950464396285,0.7454,0.7,0.5630759933524702,0.5551149881046789
full,1,1,0.8137,0.77625,0.8026692087702574,0.7577807848443843,0.7578,0.7,0.853186219319973,0.8259587020648967
circular,1,1,0.73,0.6845,0.6963562753036437,0.6356812933025404,0.6192,0.5505,0.7954779033915724,0.7520491803278688
